,neuron_id,neuron_type,RF_area,RF_center
329,329,e5Rbp4,300.0,[8.83333333 5.83333333]
330,330,e5Rbp4,400.0,[8. 7.]
331,331,e5Rbp4,400.0,[8. 6.]
332,332,e5Rbp4,400.0,[8. 5.]
333,333,e5Rbp4,200.0,[5.5 4. ]
334,334,e5Rbp4,400.0,[6. 4.]
335,335,e5Rbp4,200.0,[4.5 7. ]
336,336,e5Rbp4,300.0,[8.83333333 6.16666667]
337,337,e5Rbp4,400.0,[9. 5.]
338,338,e5Rbp4,700.0,[6.21428571 5.5       ]
339,339,e5Rbp4,600.0,[5.5 4. ]
340,340,e5Rbp4,500.0,[8.9 4.7]
341,341,e5Rbp4,400.0,[5. 4.]
342,342,e5Rbp4,300.0,[7.5 7.5]
343,343,e5Rbp4,400.0,[3. 6.]
344,344,e5Rbp4,400.0,[7. 7.]
345,345,e5Rbp4,500.0,[6.9 6.3]
346,346,e5Rbp4,200.0,[7.5 4. ]
347,347,e5Rbp4,200.0,[10.   6.5]
348,348,e5Rbp4,300.0,[8.83333333 5.83333333]
349,349,e5Rbp4,300.0,[7.16666667 4.16666667]
350,350,e5Rbp4,400.0,[4. 4.]
351,351,e5Rbp4,200.0,[2.5 6. ]
352,352,e5Rbp4,400.0,[5. 6.]
353,353,e5Rbp4,300.0,[8.16666667 6.16666667]
354,354,e5Rbp4,400.0,[4. 5.]
355,355,e5Rbp4,500.0,[4.3 5.9]
356,356,e5Rbp4,300.0,[6.83333333 7.16666667]
357,357,e5Rbp4,200.0,[3.  5.5]
358,358,e5Rbp4,300.0,[3.83333333 5.83333333]
359,359,e5Rbp4,600.0,[4.  4.5]
360,360,e5Rbp4,1100.0,[2.59090909 3.22727273]
361,361,e5Rbp4,500.0,[5.9 3.3]
362,362,e5Rbp4,400.0,[9. 6.]
363,363,e5Rbp4,300.0,[9.83333333 4.16666667]
364,364,e5Rbp4,500.0,[9.7 5.9]
365,365,e5Rbp4,200.0,[3.5 6. ]
366,366,e5Rbp4,1800.0,[2.61111111 5.38888889]
367,367,e5Rbp4,400.0,[6.5  6.75]
368,368,e5Rbp4,400.0,[11.75 10.25]
369,369,e5Rbp4,300.0,[6.83333333 2.83333333]
370,370,e5Rbp4,300.0,[6.5 4.5]
371,371,e5Rbp4,600.0,[8.5 4. ]
372,372,e5Rbp4,400.0,[4. 5.]
373,373,e5Rbp4,500.0,[4.1 4.3]
374,374,e5Rbp4,300.0,[8.83333333 6.16666667]
375,375,e5Rbp4,300.0,[5.83333333 3.16666667]
376,376,e5Rbp4,300.0,[3.5 5.5]
377,377,e5Rbp4,200.0,[7.  7.5]
378,378,e5Rbp4,500.0,[6.9 4.3]
379,379,e5Rbp4,400.0,[7. 4.]
380,380,e5Rbp4,600.0,[8.33333333 6.16666667]
381,381,e5Rbp4,400.0,[8. 4.]
382,382,e5Rbp4,500.0,[6.1 4.3]
