,neuron_id,neuron_type,RF_area,RF_center
361,361,e5Rbp4,500.0,[5.3 4.1]
362,362,e5Rbp4,300.0,[5.83333333 6.16666667]
363,363,e5Rbp4,500.0,[7.1 6.3]
364,364,e5Rbp4,1900.0,[6.81578947 4.23684211]
365,365,e5Rbp4,400.0,[9. 6.]
366,366,e5Rbp4,400.0,[8. 5.]
367,367,e5Rbp4,500.0,[5.3 6.1]
368,368,e5Rbp4,600.0,[7.66666667 6.33333333]
369,369,e5Rbp4,400.0,[4. 5.]
370,370,e5Rbp4,700.0,[7.78571429 5.64285714]
371,371,e5Rbp4,400.0,[5.5  6.25]
372,372,e5Rbp4,1000.0,[ 2.5 10. ]
373,373,e5Rbp4,1600.0,[6.0625 5.6875]
374,374,e5Rbp4,600.0,[7. 5.]
375,375,e5Rbp4,200.0,[4.5 5. ]
376,376,e5Rbp4,1100.0,[5.86363636 4.95454545]
377,377,e5Rbp4,1600.0,[5.3125 4.1875]
378,378,e5Rbp4,500.0,[4.7 6.1]
379,379,e5Rbp4,700.0,[4.92857143 1.35714286]
380,380,e5Rbp4,400.0,[7. 4.]
381,381,e5Rbp4,500.0,[3.1 5.7]
382,382,e5Rbp4,500.0,[5.3 5.1]
383,383,e5Rbp4,600.0,[5.66666667 6.33333333]
384,384,e5Rbp4,400.0,[8.  5.5]
385,385,e5Rbp4,500.0,[5.5 4.5]
386,386,e5Rbp4,600.0,[11.33333333  9.83333333]
387,387,e5Rbp4,400.0,[8.5 6. ]
388,388,e5Rbp4,800.0,[12.   8.5]
389,389,e5Rbp4,400.0,[8. 5.]
390,390,e5Rbp4,500.0,[6.7 5.1]
391,391,e5Rbp4,600.0,[7.         4.16666667]
392,392,e5Rbp4,600.0,[8.33333333 5.33333333]
393,393,e5Rbp4,700.0,[7.5        6.21428571]
394,394,e5Rbp4,500.0,[4.9 6.7]
395,395,e5Rbp4,500.0,[5.7 6.9]
396,396,e5Rbp4,600.0,[8.         4.83333333]
397,397,e5Rbp4,1400.0,[9.21428571 5.        ]
398,398,e5Rbp4,400.0,[5.5 4. ]
399,399,e5Rbp4,1000.0,[7.4 4.8]
400,400,e5Rbp4,800.0,[5.625 4.625]
401,401,e5Rbp4,300.0,[8.83333333 4.83333333]
402,402,e5Rbp4,400.0,[6. 6.]
403,403,e5Rbp4,500.0,[5.1 4.7]
404,404,e5Rbp4,,[6.      6.09375]
405,405,e5Rbp4,400.0,[6. 6.]
406,406,e5Rbp4,900.0,[7.16666667 4.5       ]
407,407,e5Rbp4,800.0,[7.625 6.625]
408,408,e5Rbp4,600.0,[6.  6.5]
409,409,e5Rbp4,600.0,[5.5 6. ]
410,410,e5Rbp4,300.0,[4.83333333 5.83333333]
411,411,e5Rbp4,800.0,[7.875 4.25 ]
412,412,e5Rbp4,100.0,[0.5 6.5]
413,413,e5Rbp4,1100.0,[7.59090909 6.86363636]
414,414,e5Rbp4,400.0,[4. 6.]
415,415,e5Rbp4,400.0,[5.25 6.5 ]
416,416,e5Rbp4,500.0,[1.7 9.7]
417,417,e5Rbp4,600.0,[9.33333333 3.33333333]
418,418,e5Rbp4,400.0,[7.5  6.75]
419,419,e5Rbp4,700.0,[7.21428571 4.07142857]
420,420,e5Rbp4,200.0,[12.  10.5]
421,421,e5Rbp4,300.0,[4.16666667 6.83333333]
422,422,e5Rbp4,400.0,[6. 5.]
423,423,e5Rbp4,500.0,[5.3 5.1]
424,424,e5Rbp4,400.0,[4. 6.]
425,425,e5Rbp4,700.0,[8.5 6.5]
426,426,e5Rbp4,500.0,[8.7 4.9]
427,427,e5Rbp4,500.0,[4.3 5.9]
428,428,e5Rbp4,200.0,[8.  4.5]
429,429,e5Rbp4,1000.0,[6.5 5.3]
430,430,e5Rbp4,1300.0,[6.11538462 4.11538462]
431,431,e5Rbp4,400.0,[4.5  5.25]
432,432,e5Rbp4,1300.0,[7.57692308 4.65384615]
433,433,e5Rbp4,500.0,[7.1 4.7]
434,434,e5Rbp4,700.0,[5.5        5.21428571]
435,435,e5Rbp4,1400.0,[5.28571429 2.64285714]
436,436,e5Rbp4,1200.0,[8.66666667 5.75      ]
437,437,e5Rbp4,500.0,[5.1 5.7]
438,438,e5Rbp4,400.0,[5. 6.]
439,439,e5Rbp4,500.0,[6.7 5.9]
440,440,e5Rbp4,300.0,[3.5 6.5]
441,441,e5Rbp4,400.0,[6. 6.]
442,442,e5Rbp4,500.0,[4.3 4.9]
443,443,e5Rbp4,400.0,[4. 6.]
444,444,e5Rbp4,500.0,[4.1 4.7]
445,445,e5Rbp4,700.0,[5.92857143 3.78571429]
446,446,e5Rbp4,800.0,[4.25 5.75]
447,447,e5Rbp4,800.0,[11.625  9.25 ]
448,448,e5Rbp4,700.0,[4.5 5.5]
449,449,e5Rbp4,400.0,[4. 6.]
450,450,e5Rbp4,600.0,[7.66666667 6.33333333]
451,451,e5Rbp4,700.0,[3.78571429 5.35714286]
452,452,e5Rbp4,1100.0,[2.22727273 5.59090909]
453,453,e5Rbp4,600.0,[8.5 5. ]
454,454,e5Rbp4,400.0,[8. 5.]
455,455,e5Rbp4,300.0,[4.16666667 5.16666667]
456,456,e5Rbp4,300.0,[4.83333333 5.83333333]
457,457,e5Rbp4,400.0,[8. 5.]
458,458,e5Rbp4,800.0,[8. 6.]
459,459,e5Rbp4,600.0,[8.66666667 5.66666667]
460,460,e5Rbp4,2300.0,[7.63043478 8.23913043]
461,461,e5Rbp4,800.0,[8.375 9.375]
462,462,e5Rbp4,300.0,[6.83333333 3.83333333]
463,463,e5Rbp4,500.0,[3.9 5.3]
464,464,e5Rbp4,300.0,[4.16666667 6.16666667]
465,465,e5Rbp4,500.0,[7.7 5.1]
466,466,e5Rbp4,400.0,[4.  4.5]
467,467,e5Rbp4,900.0,[1.61111111 1.27777778]
